0,1,2,3,4,5,6,7,8
&,,Prix année,-10% semestre,-10% Année,-15% semestre,-15% Année,Fam nomb semestre,Fam nomb Année
1,140.0,260,126,234,119,221,133,247
1.5,190.0,360,171,324,161.5,306,180.5,342
2,225.0,420,202.5,378,191.25,357,213.75,399
2.5,257.5,480,231.75,432,218.88,408,244.63,456
3,290.0,540,261,486,246.5,459,275.5,513
3.5,312.5,580,281.25,522,265.63,493,296.88,551
4,335.0,620,301.5,558,284.75,527,318.25,589
4.5,345.0,645,310.5,580.5,293.25,548.25,327.75,612.75
FA,355.0,670,319.5,603,301.75,569.5,337.25,636.5
